,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
AC,0,inf,1150,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,451,inf,inf,inf,inf,inf,inf
AL,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,203,inf,inf,inf,inf,inf,inf,inf,inf,204,inf,inf
AM,1150,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,1453,1293,inf,inf,inf,inf,inf,inf,760,665,inf,inf,inf,inf,inf
AP,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,330,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
BA,inf,inf,inf,inf,0,inf,inf,839,1228,inf,965,inf,inf,inf,inf,676,995,inf,inf,inf,inf,inf,inf,inf,273,inf,1115
CE,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,555,629,496,inf,inf,435,inf,inf,inf,inf,inf,inf,inf
DF,inf,inf,inf,inf,inf,inf,0,inf,178,inf,620,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ES,inf,inf,inf,inf,839,inf,inf,0,inf,inf,381,inf,inf,inf,inf,inf,inf,inf,413,inf,inf,inf,inf,inf,inf,inf,inf
GO,inf,inf,inf,inf,1228,inf,178,inf,0,inf,667,704,740,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,730
MA,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,481,inf,inf,330,inf,inf,inf,inf,inf,inf,inf,inf,inf,960
MG,inf,inf,inf,inf,965,inf,620,381,667,inf,0,inf,inf,inf,inf,inf,inf,inf,342,inf,inf,inf,inf,inf,inf,491,inf
MS,inf,inf,inf,inf,inf,inf,inf,inf,704,inf,inf,0,563,inf,inf,inf,inf,777,inf,inf,inf,inf,inf,inf,inf,892,inf
MT,inf,inf,1453,inf,inf,inf,inf,inf,740,inf,inf,563,0,1780,inf,inf,inf,inf,inf,inf,1139,inf,inf,inf,inf,inf,1035
PA,inf,inf,1293,330,inf,inf,inf,inf,inf,481,inf,inf,1780,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,971
PB,inf,inf,inf,inf,inf,555,inf,inf,inf,inf,inf,inf,inf,inf,0,104,inf,inf,inf,152,inf,inf,inf,inf,inf,inf,inf
PE,inf,203,inf,inf,676,629,inf,inf,inf,inf,inf,inf,inf,inf,104,0,935,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PI,inf,inf,inf,inf,995,496,inf,inf,inf,330,inf,inf,inf,inf,inf,935,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PR,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,777,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,251,inf,339,inf
RJ,inf,inf,inf,inf,inf,inf,inf,413,inf,inf,342,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,361,inf
RN,inf,inf,inf,inf,inf,435,inf,inf,inf,inf,inf,inf,inf,inf,152,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf
RO,451,inf,760,inf,inf,inf,inf,inf,inf,inf,inf,inf,1139,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf
RR,inf,inf,665,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf
RS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,376,inf,inf,inf
SC,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,251,inf,inf,inf,inf,376,0,inf,inf,inf
SE,inf,204,inf,inf,273,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf
SP,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,491,892,inf,inf,inf,inf,inf,339,361,inf,inf,inf,inf,inf,inf,0,inf
TO,inf,inf,inf,inf,1115,inf,inf,inf,730,960,inf,inf,1035,971,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0
